#(contextId, 'mapName', version, baseRegionId)  
#Foreas
(1985, 'adv_bootcamp', 783, 2) #Planet Foreas - Bootcamp 
##Foreas Concordia
###Foreas Concordia Divide
(1148, 'adv_foreas_concordia_divide', 1584, 0) #Planet Foreas: Concordia - Divide
(1347, 'adv_foreas_concordia_divide_minoscaverns', 209, 0) #Planet Foreas: Concordia - Divide (Minos Caverns)
(1348, 'adv_foreas_concordia_divide_timoramines', 286, 0) #Planet Foreas: Concordia - Divide (Timora Mines)
(1349, 'adv_foreas_concordia_divide_torcastraprison', 465, 0) #Planet Foreas: Concordia - Divide (Torcastra Prison)
(1806, 'adv_foreas_concordia_divide_purgasstation2', 293, 0) #Planet Foreas: Concordia - Divide (Purgas Station)
###Foreas Concordia Wilderness
(1220, 'adv_foreas_concordia_wilderness', 1556, 0) #Concordia Wilderness - 791,295,383
(1721, 'adv_foreas_concordia_wilderness_clrf', 276, 0) #Planet Foreas: Concordia - Wilderness (Crater Lake Research Facility)
(1416, 'adv_foreas_concordia_wilderness_guardianprom', 225, 0) #Planet Foreas: Concordia - Wilderness (Guardian Prominence)
(1430, 'adv_foreas_concordia_wilderness_pravusresearch', 549, 0) #Planet Foreas: Concordia - Wilderness (Pravus Research)
(1506, 'adv_foreas_concordia_wilderness_cavesofdonn02', 516, 0) #Planet Foreas: Concordia - Wilderness (Caves of Donn)
###Foreas Concordia Palisades
(1244, 'adv_foreas_concordia_palisades', 923, 0) #Planet Foreas: Concordia - Palisades
(1384, 'adv_foreas_concordia_palisades_warnetcaverns', 200, 0) #Planet Foreas: Concordia - Palisades (Warnet Caverns)
(1394, 'adv_foreas_concordia_palisades_devilsden', 325, 0) #Planet Foreas: Concordia - Palisades (Devils Den)
(1397, 'adv_foreas_concordia_palisades_treebackcamp', 282, 0) #Planet Foreas: Concordia - Palisades (Treeback Camp)
(1803, 'adv_foreas_concordia_palisades_elohtemples', 249, 0) #Planet Foreas: Concordia - Palisades (Eloh Temples)
(2084, 'adv_foreas_concordia_elohcommtower2', 333, 0) #Planet Foreas: Concordia - Palisades (Eloh Vale)
##Foreas Valverde
###Foreas Valverde Plateu
(1497, 'adv_foreas_valverde_plateau', 775, 0) #Planet Foreas: Valverde - Plateau
(1502, 'adv_foreas_valverde_plateau_ustoryard', 185, 9) #Planet Foreas: Valverde - Plateau (Ustor Yard)
(1823, 'adv_foreas_valverde_plateau_sanctusgrotto', 154, 0) #Planet Foreas: Valverde - Descent (Sanctus Grotto)
(1830, 'adv_foreas_valverde_plateau_maligobasev3', 143, 0) #Planet Foreas: Valverde - Plateau (Maligo Base
(2029, 'adv_foreas_valverde_plateau_temporalchamber', 129, 0) #Planet Foreas: Valverde - Plateau (Temporal Chamber)
###Foreas Valverde Pools
(1304, 'adv_foreas_valverde_pools', 508, 0) #Planet Foreas: Valverde - Pools -coords 156,900,379 (Retread Outpost)
(1465, 'adv_foreas_valverde_pools_test_weapons_center', 132, 0) #Planet Foreas: Valverde - Pools (Lamnas Armory)
(1763, 'adv_foreas_valverde_pools_livetargetpensv2', 175, 0) #Planet Foreas: Valverde - Howling Maw (Live Target Pens)
###Foreas Valverde Marshes
(1454, 'adv_foreas_valverde_marshes', 654, 0) #Planet Foreas: Valverde - Marshes
(1429, 'adv_foreas_valverde_marshes_wetlandrefinery', 302, 0) #Planet Foreas: Valverde - Marshes (Turpis Refinery)
(1451, 'adv_foreas_valverde_marshes_banesupplydepot', 283, 0) #Planet Foreas: Valverde - Marshes (Bane Supply Depot)
(1700, 'adv_foreas_valverde_marshes_logosresearchfacility', 368, 0) #Planet Foreas: Valverde - Marshes (Logos Research Facility)
(1743, 'adv_foreas_valverde_marshes_villageruins', 446, 0) #Planet Foreas: Valverde - Marshes (Preo Das)
###Foreas Valverde Descent
(2047, 'adv_foreas_valverde_descent', 315, 0) #Planet Foreas: Valverde - Descent
(2156, 'adv_foreas_valverde_descent_therefuge', 55, 0) #Planet Foreas: Valverde - Descent (The Refuge)
(2163, 'adv_foreas_valverde_descent_inferno_outpost', 128, 0) #Planet Foreas: Valverde - Descent (Outpost Inferno)
###Foreas Howling Maw 
